Rank,Player,Club,Year,Yellow Cards
1,João Palhinha,Unknown,2023/2024,13
2,Marcos Senesi,Bournemouth,2023/2024,13
3,Douglas Luiz,Unknown,2023/2024,12
4,Edson Álvarez,West Ham United,2023/2024,11
5,Nélson Semedo,Wolverhampton Wanderers,2023/2024,11
6,Moisés Caicedo,Chelsea,2023/2024,11
7,João Gomes,Wolverhampton Wanderers,2023/2024,11
8,Kai Havertz,Arsenal,2023/2024,11
9,James Tarkowski,Everton,2023/2024,11
10,Marc Cucurella,Chelsea,2023/2024,10
11,Wataru Endo,Liverpool,2023/2024,10
12,Anthony Gordon,Newcastle United,2023/2024,10
13,Nicolas Jackson,Chelsea,2023/2024,10
14,Mario Lemina,Wolverhampton Wanderers,2023/2024,10
15,Emerson,West Ham United,2023/2024,10
16,Jack Robinson,Unknown,2023/2024,10
17,Lucas Paquetá,West Ham United,2023/2024,10
18,Anel Ahmedhodzic,Unknown,2023/2024,9
19,Yves Bissouma,Tottenham Hotspur,2023/2024,9
20,Jayden Bogle,Unknown,2023/2024,9
